Using  cpu
IQN(
  (head): Linear(in_features=4, out_features=512, bias=True)
  (cos_embedding): Linear(in_features=64, out_features=512, bias=True)
  (ff_1): Linear(in_features=512, out_features=512, bias=True)
  (ff_2): Linear(in_features=512, out_features=2, bias=True)
)

Episode 400	Frame 9250	Average100 Score: 22.82

Episode 401	Frame 9271 	Average100 Score: 22.83
Episode 402	Frame 9289 	Average100 Score: 22.83
Episode 403	Frame 9302 	Average100 Score: 22.65
Episode 404	Frame 9321 	Average100 Score: 22.68
Episode 405	Frame 9355 	Average100 Score: 22.44
Episode 406	Frame 9374 	Average100 Score: 22.49
Episode 407	Frame 9392 	Average100 Score: 22.46
Episode 408	Frame 9416 	Average100 Score: 22.55
Episode 409	Frame 9431 	Average100 Score: 22.53
Episode 410	Frame 9454 	Average100 Score: 22.55
Episode 411	Frame 9477 	Average100 Score: 22.56
Episode 412	Frame 9487 	Average100 Score: 22.52
Episode 413	Frame 9502 	Average100 Score: 22.31
Episode 414	Frame 9525 	Average100 Score: 22.41
Episode 415	Frame 9552 	Average100 Score: 22.32
Episode 416	Frame 9566 	Average100 Score: 21.71
Episode 417	Frame 9596 	Average100 Score: 21.90
Episode 418	Frame 9618 	Average100 Score: 21.98
Episode 419	Frame 9652 	Average100 Score: 22.15
Episode 420	Frame 9678 	Average100 Score: 22.07
Episode 421	Frame 9690 	Average100 Score: 21.57
Episode 422	Frame 9700 	Average100 Score: 21.57
Episode 423	Frame 9733 	Average100 Score: 21.68
Episode 424	Frame 9744 	Average100 Score: 21.62
Episode 425	Frame 9762 	Average100 Score: 21.62
Episode 426	Frame 9774 	Average100 Score: 21.37
Episode 427	Frame 9797 	Average100 Score: 21.40
Episode 428	Frame 9815 	Average100 Score: 21.40
Episode 429	Frame 9835 	Average100 Score: 21.45
Episode 430	Frame 9861 	Average100 Score: 21.54
Episode 431	Frame 9879 	Average100 Score: 21.61
Episode 432	Frame 9894 	Average100 Score: 21.49
Episode 433	Frame 9914 	Average100 Score: 21.57
Episode 434	Frame 9946 	Average100 Score: 21.76
Episode 435	Frame 9973 	Average100 Score: 21.93
Episode 436	Frame 9984 	Average100 Score: 21.76
Episode 437	Frame 10016 	Average100 Score: 21.90
Episode 438	Frame 10051 	Average100 Score: 22.06
Episode 439	Frame 10084 	Average100 Score: 22.23
Episode 440	Frame 10125 	Average100 Score: 22.50
Episode 441	Frame 10150 	Average100 Score: 22.20
Episode 442	Frame 10178 	Average100 Score: 22.25
Episode 443	Frame 10204 	Average100 Score: 22.34
Episode 444	Frame 10223 	Average100 Score: 22.36
Episode 445	Frame 10248 	Average100 Score: 22.17
Episode 446	Frame 10268 	Average100 Score: 22.10
Episode 447	Frame 10294 	Average100 Score: 21.77
Episode 448	Frame 10306 	Average100 Score: 21.44
Episode 449	Frame 10333 	Average100 Score: 21.45
Episode 450	Frame 10365 	Average100 Score: 21.66
Episode 451	Frame 10385 	Average100 Score: 21.69
Episode 452	Frame 10481 	Average100 Score: 22.53
Episode 453	Frame 10496 	Average100 Score: 22.51
Episode 454	Frame 10538 	Average100 Score: 22.76
Episode 455	Frame 10556 	Average100 Score: 22.78
Episode 456	Frame 10631 	Average100 Score: 23.24
Episode 457	Frame 10664 	Average100 Score: 23.39
Episode 458	Frame 10705 	Average100 Score: 23.56
